t: 0	x_0: 1000	x_1: 0	
t: 2.809999999999984	x_0: -810.02383255365	x_1: -1835.8929267300944	
t: 2.819999999999984	x_0: -827.9858501429997	x_1: -1755.611003605739	
t: 2.8299999999999836	x_0: -845.136247112487	x_1: -1673.608140899958	
t: 2.8399999999999834	x_0: -861.4582117604015	x_1: -1589.9647206938932	
t: 2.849999999999983	x_0: -876.9357444435778	x_1: -1504.7627332282339	
t: 2.859999999999983	x_0: -891.5536732610828	x_1: -1418.0856965334815	
t: 2.869999999999983	x_0: -905.2976689265197	x_1: -1330.018574562594	
t: 2.8799999999999826	x_0: -918.1542588143716	x_1: -1240.6476939062595	
t: 2.8899999999999824	x_0: -930.1108401666152	x_1: -1150.060659172437	
t: 2.899999999999982	x_0: -941.1556924466579	x_1: -1058.3462671131142	
t: 2.909999999999982	x_0: -951.2779888284902	x_1: -965.5944195824563	
t: 2.9199999999999817	x_0: -960.4678068097887	x_1: -871.8960354116689	
t: 2.9299999999999815	x_0: -968.7161379385686	x_1: -777.3429612869579	
t: 2.9399999999999813	x_0: -976.0148966438483	x_1: -682.0278817179476	
t: 2.949999999999981	x_0: -982.3569281616723	x_1: -586.0442281848086	
t: 2.959999999999981	x_0: -987.7360155487212	x_1: -489.48608755315416	
t: 2.9699999999999807	x_0: -992.1468857766339	x_1: -392.4481098464784	
t: 2.9799999999999804	x_0: -995.5852149010682	x_1: -295.0254154665435	
t: 2.9899999999999802	x_0: -998.047632300432	x_1: -197.3135019526602	
t: 2.99999999999998	x_0: -999.5317239801315	x_1: -99.40815037126104	
t: 3.00999999999998	x_0: -1000.0360349390938	x_1: -1.4053314275262352	
t: 3.0199999999999796	x_0: -999.5600705962489	x_1: 96.59888860890446	
t: 3.0299999999999794	x_0: -998.1042972755677	x_1: 194.5084420719185	
t: 3.039999999999979	x_0: -995.6701417491835	x_1: 292.2273540683089	
t: 3.049999999999979	x_0: -992.2599898390433	x_1: 389.6598365562354	
t: 3.0599999999999787	x_0: -987.8771840784599	x_1: 486.7103822405491	
t: 3.0699999999999785	x_0: -982.5260204358559	x_1: 583.2838581929403	
t: 3.0799999999999783	x_0: -976.2117441039129	x_1: 679.2855991051397	
t: 3.089999999999978	x_0: -968.9405443582506	x_1: 774.6215000837616	
t: 3.099999999999978	x_0: -960.7195484906774	x_1: 869.1981088958291	
t: 3.1099999999999777	x_0: -951.5568148229587	x_1: 962.9227175745566	
t: 3.1199999999999775	x_0: -941.4613248079498	x_1: 1055.703453295595	
t: 3.1299999999999772	x_0: -930.442974225838	x_1: 1147.4493684346592	
t: 3.139999999999977	x_0: -918.5125634841208	x_1: 1238.0705297182583	
t: 3.149999999999977	x_0: -905.6817870308311	x_1: 1327.4781063801402	
t: 3.1599999999999766	x_0: -891.9632218913846	x_1: 1415.5844572370354	
t: 3.1699999999999764	x_0: -877.3703153402874	x_1: 1502.303216598345	
t: 3.179999999999976	x_0: -861.9173717197873	x_1: 1587.54937892556	
t: 3.189999999999976	x_0: -845.619538418389	x_1: 1671.2393821584255	
t: 3.1999999999999758	x_0: -828.4927910229798	x_1: 1753.29118962617	
t: 3.2099999999999755	x_0: -810.5539176591168	x_1: 1833.6243704635053	
